Language Name,Package Name,Query Name,Query Severity,CWE ID
Apex,Apex_Force_com_Critical_Security_Risk,Reflected_XSS,High,79
Apex,Apex_Force_com_Critical_Security_Risk,Resource_Injection,High,99
Apex,Apex_Force_com_Critical_Security_Risk,SOQL_SOSL_Injection,High,89
Apex,Apex_Force_com_Critical_Security_Risk,Stored_XSS,High,79
Apex,Apex_Force_com_Serious_Security_Risk,Cookies_Scoping,Medium,0
Apex,Apex_Force_com_Serious_Security_Risk,CRUD_Delete,Medium,472
Apex,Apex_Force_com_Serious_Security_Risk,Dangerous_Methods,Medium,243
Apex,Apex_Force_com_Serious_Security_Risk,Dereferenced_Field,Medium,0
Apex,Apex_Force_com_Serious_Security_Risk,FLS_Create,Medium,285
Apex,Apex_Force_com_Serious_Security_Risk,FLS_Create_Partial,Medium,285
Apex,Apex_Force_com_Serious_Security_Risk,FLS_Read,Medium,285
Apex,Apex_Force_com_Serious_Security_Risk,FLS_Update,Medium,285
Apex,Apex_Force_com_Serious_Security_Risk,FLS_Update_Partial,Medium,285
Apex,Apex_Force_com_Serious_Security_Risk,Frame_Spoofing,Medium,79
Apex,Apex_Force_com_Serious_Security_Risk,HttpSplitting,Medium,113
Apex,Apex_Force_com_Serious_Security_Risk,inputText_Ignoring_FLS,Medium,0
Apex,Apex_Force_com_Serious_Security_Risk,Insecure_Cookie,Medium,614
Apex,Apex_Force_com_Serious_Security_Risk,Insecure_Endpoint,Medium,319
Apex,Apex_Force_com_Serious_Security_Risk,Sharing,Medium,472
Apex,Apex_Force_com_Serious_Security_Risk,Sharing_With_Controller,Medium,472
Apex,Apex_Force_com_Serious_Security_Risk,URL_Redirection_Attack,Medium,601
Apex,Apex_Force_com_Serious_Security_Risk,XSRF,Medium,352
Apex,Apex_Force_com_Serious_Security_Risk,XSRF_With_VF_Call,Medium,352
Apex,Apex_Force_com_Code_Quality,Async_Future_Method_Inside_Loops,Low,0
Apex,Apex_Force_com_Code_Quality,Bulkify_Apex_Methods_Using_Collections_In_Methods,Low,0
Apex,Apex_Force_com_Code_Quality,DML_Statements_Inside_Loops,Low,0
Apex,Apex_Force_com_Code_Quality,Hardcoding_Ids,Low,0
Apex,Apex_Force_com_Code_Quality,Hardcoding_Of_Trigger_New,Low,0
Apex,Apex_Force_com_Code_Quality,Hardcoding_Of_Trigger_Old,Low,0
Apex,Apex_Force_com_Code_Quality,Hardcoding_References_To_Static_Resources,Low,0
Apex,Apex_Force_com_Code_Quality,Multiple_Forms_In_Visualforce_Page,Low,0
